"Timestamp","Køn (Gender) ","Alder (Age)","Hvor gammel var du, da du blev seksuelt aktiv? (How old were you when you first became sexually active?)","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","Er du seksuelt aktiv i øjeblikket? (Are you currently sexually active?)","Hvor ofte har du normalt sex? (How often do you usually have sex?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Har du nogensinde været til en sexfest? (Have you ever been to a sex party?)","Hvor mange gange har du været til sexfest? (How many times have you been to a sex party?) ","Hvordan fandt du disse sexfester? (How did you find out about these sex parties?) ","Ved dine venner, at du går til sexfester? (Do your friends know you go to sex parties?)","Har det påvirket dine seksuelle interesser? (Has it affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Hvor tror du, at dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/06/02 7:38:33 PM GMT+2","Kvinde (Woman)","21","17","Single","Nej (No)","8","7","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","9","9","Nej (No)","","","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","6","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 7:39:31 PM GMT+2","Kvinde (Woman)","22","19","I et forhold (In a relationship)","Nej (No)","8","7","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","8","6","Nej (No)","","","Ja (Yes)","7","5","Ja (Yes)","6","3","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 7:40:42 PM GMT+2","Kvinde (Woman)","20","17","Single","Nej (No)","6","7","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","10","4","Ja (Yes)","10","4","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","3","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","3","Ja (Yes)","10","3","Ja (Yes)","5","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","7","Daddy kink, calling someone Daddy during sex/them wanting u to call them Daddy","just mostly from discussions with friends making me interested and wanting to try them out. Also from joking around, like we would joke a lot about the daddy kink to the point where it just became something tht i associated with good dom-sub sex, rather than it coming from a place of daddy issues (which i dont have).and other life experiences. For example i think being a masochist stems from when i used to use self-harm as a coping mechanism as a form of emotional release when i had depression (no longer do it), has transferred to me enjoying being harmed during sex. ","Reasoning for not doing the kinks more is due to not feeling comfortable enough yet with partners/partners not wanting to do them. "
"2022/06/02 7:41:16 PM GMT+2","Kvinde (Woman)","32","14","Gift (Married","Nej (No)","5","8","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","8","2","Nej (No)","","","Ja (Yes)","9","8","Ja (Yes)","7","1","Ja (Yes)","10","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","4","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 7:45:01 PM GMT+2","Kvinde (Woman)","23","15","Single","Nej (No)","1","4","Nej (No)","","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","6","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc)",""
"2022/06/02 7:49:27 PM GMT+2","Kvinde (Woman)","29","13","Forlovet","Nej (No)","8","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan","2-5","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Jeg er blevet mere åben for at udforske nysgerrighed da jeg føler mig tryg","Nej, No","","","","","","Ja (Yes)","4","3","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","3","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","3","3","Ja (Yes)","8","8","Nej (No)","","","Ja (Yes)","7","2","Ja (Yes)","6","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","10","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Indefra. Har altid haft stor seksuel lyst målt mod veninder. Da jeg var ung troede jeg at der var noget galt med mig, fordi jeg nød det så meget. ",""
"2022/06/02 8:03:18 PM GMT+2","Kvinde (Woman)","21","20","I et forhold (In a relationship)","Ja (yes)","9","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","8","3","Ja (Yes)","9","2","Ja (Yes)","5","1","Ja (Yes)","4","2","Ja (Yes)","3","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","3","3","Ja (Yes)","6","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","2","1","Ja (Yes)","4","2","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:03:36 PM GMT+2","Kvinde (Woman)","23","15","Single","Nej (No)","3","8","Nej (No)","","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","10","6","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","1","Ja (Yes)","6","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Ja (Yes)","10","6","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","5","Temperatur (isterning), quirofilia, ","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:03:41 PM GMT+2","Kvinde (Woman)","23","18","Single","Nej (No)","3","8","Nej (No)","","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","9","7","Ja (Yes)","7","2","Ja (Yes)","8","4","Nej (No)","","","Ja (Yes)","8","1","Ja (Yes)","9","1","Ja (Yes)","8","1","Nej (No)","","","Ja (Yes)","9","4","Ja (Yes)","6","1","Ja (Yes)","10","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","1","Ja (Yes)","8","4","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Fanfiction, art, my own writing, talks with friends",""
"2022/06/02 8:10:09 PM GMT+2","Kvinde (Woman)","35","16","Single","Nej (No)","7","9","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan","2-5","Venner (Friends)","Ja (Yes)","Ja (Yes)","Min fantasi bliver inspireret, og pludselig kan alt muligt lade sig gøre.","Nej, No","","","","","","Ja (Yes)","9","8","Ja (Yes)","9","4","Ja (Yes)","10","5","Ja (Yes)","10","10","Ja (Yes)","8","8","Nej (No)","","","Ja (Yes)","5","7","Ja (Yes)","7","8","Nej (No)","","","Ja (Yes)","7","6","Ja (Yes)","9","9","Nej (No)","","","Ja (Yes)","6","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","2","Ja (Yes)","9","8","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
