"Timestamp","Køn (Gender) ","Alder (Age)","Nationalitet (Nationality) ","Bopælsland (Country of residence) ","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","
Hvor længe har du været seksuelt aktiv? (How long have you been sexually active?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","I hvor høj grad betragter du dig selv som nysgerrig med hensyn til udforskning af seksuelle kinks? (To what extent do you consider yourself curious regarding exploration of sexual kinks?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Nogle rapporterer, at de afholder sig fra at/ engagere sig i kink(s), de er interesserede i, fordi de føler, at det/de er et tabu. Beskriver dette også dig? (Some report that they refrain from engaging in kink(s) they are interested, in because they feel it/they are taboo. Does this describe you as well?)   ","Hvor tror du, dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Har dine seksuelle interesser ændret sig over tid? (Have your sexual interests changed over time?) ","Del venligst hvilke situationer eller tilfælde du mener har fået dine interesser til at udvikle sig (Share what situations or instances you believe have caused your interests to evolve.) ","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/11/01 4:40:32 PM GMT+1","Kvinde (Woman)","67","Denmark","Danmark","Single","Ja (yes)","40 år","8","6","7","Nej (No)","","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Afrodite club","10+","Sociale medie (Social media)","Nej (No)","Ja (Yes)",":)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","3","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","4","Et par gange om året (A few times a year)","Ja (Yes)","5","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Nej (No)","",""
"2022/11/01 4:40:53 PM GMT+1","Kvinde (Woman)","41","Dansk","Danmark","I et forhold (In a relationship)","Ja (yes)","23 år","7","9","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Ja (Yes)","Afrodite club","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 4:43:15 PM GMT+1","Kvinde (Woman)","42","Dansk","Danmark","Single","Nej (No)","Siden jeg var 18 år","9","9","2","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Dark Secret;Afrodite club;Joys","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Jeg er blevet meget mere nysgerrig og dået et meget afslappet forhold til sex","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","3","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Ja (Yes)","Det er sket en del gange i swinger miljøet ",""
"2022/11/01 4:44:49 PM GMT+1","Kvinde (Woman)","50","Dansk","Danmark","I et forhold (In a relationship)","Ja (yes)","33","10","10","10","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan;Dark Secret;CitySwingers;Afrodite club;Joys","10+","Venner (Friends)","Nej (No)","Ja (Yes)","Nysgerrigheden er blevet større, rummeligheden ligeså. ","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","5","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Det at komme i swingerklub ",""
"2022/11/01 4:57:13 PM GMT+1","Kvinde (Woman)","48","Dk","Dk","Gift (Married)","Nej (No)","33 år","7","10","10","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Fået lyst til at udforske flere ting ","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 4:59:27 PM GMT+1","Kvinde (Woman)","47","Dk","Danmark ","Gift (Married)","Nej (No)","33åe","10","8","7","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Åbenhed","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","..",""
"2022/11/01 5:03:07 PM GMT+1","Kvinde (Woman)","46","Denmark ","Denmark ","Gift (Married)","Ja (yes)","33 år","8","8","8","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Dark Secret;Afrodite club","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Nej (No)","Det er det samme","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","5","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","6","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Et par gange om måneden (few times a month)","Ja (Yes)","5","En gang om måned (Once a month)","Ja (Yes)","6","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Ja (Yes)","Udvikling ",""
"2022/11/01 5:10:25 PM GMT+1","Mand (Man)","49","dk","dk","I et forhold (In a relationship)","Nej (No)","32år","5","8","8","Nej (No)","","Nej (No)","","Ja (Yes)","CitySwingers;Afrodite club","6-10","Søgt online (Searched online)","Nej (No)","Nej (No)","?","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Ja (Yes)","",""
"2022/11/01 5:27:28 PM GMT+1","Kvinde (Woman)","27","Dansk","Danmark ","Single","Nej (No)","11 år","3","9","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Venner (Friends)","Nej (No)","Ja (Yes)","Seksuelle lyster er ikke længere et tabu. Og swingermiljøet er OGSÅ for HR. Og FRU. Danmark. Jeg er blevet langt mere frisindet både i forhold til andre og mig selv","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","3","Aldrig (Never)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","At opleve en swingerklub får ens fantasier til et nyt level!",""
"2022/11/01 5:56:19 PM GMT+1","Kvinde (Woman)","41","DK","DK","Single","Nej (No)","26 år","5","8","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Er blevet mere åben, mere modig","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","","","","Nej (No)","","","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Ja (Yes)","De forskellige ting der sker i klub har inspireret mig",""
"2022/11/01 6:38:27 PM GMT+1","Mand (Man)","61","Dansk","Odense ","I et forhold (In a relationship)","Nej (No)","46år","9","9","6","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Tucan;Swingland;CitySwingers;CitySwingers 2;Swingergaarden;Afrodite club;Joys;Tyskland Spanien ","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Nej (No)","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Ja (Yes)","",""
"2022/11/01 7:04:58 PM GMT+1","Mand (Man)","47","Dansk","Danmark ","Single","Nej (No)","30 år","9","9","8","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Tucan;Dark Secret;Swingergaarden;Afrodite club","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Jeg får udlevet mine fantasier, bi-sex tantra og flerkanter","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","2","Mindre end en gang om  (Less than once a year)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","","Nej (No)","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Sex med andre mænd og tantra er en skøn ting jeg har opdaget de sidste 6-7 år",""
"2022/11/01 7:21:29 PM GMT+1","Kvinde (Woman)","59","Dansk","Danmark ","I et forhold (In a relationship)","Nej (No)","44 år","10","9","8","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;CitySwingers;Joys","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Har fundet min bi-side","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","3","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","4","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Clubbesøg hvor der var mulighed for at kysse, kramme andre kvinder","Definition af åbent forhold. Vi mener at sex med andre som kun foregår i swingerclub ikke hører ind under åbent forhold. Hvad der sker i clubben, bliver i clubben og er ikke utroskab. "
"2022/11/01 7:23:13 PM GMT+1","Mand (Man)","60år ","Dansk ","Danmark ","Single","","42år","8","8","6","Nej (No)","","Nej (No)","","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden;Afrodite club;Joys","10+","Boet nabo til Tucan ","Ja (Yes)","Ja (Yes)","Har fundet ud af at jeg er okay til at tilfredsstille en kvinde ","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","6","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","Har set på nogle og tænkt det må prøves ",""
"2022/11/01 8:52:18 PM GMT+1","Mand (Man)","45","Dk","Dk","I et forhold (In a relationship)","Ja (yes)","26","2","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Swingland;Dark Secret;Swingergaarden;Afrodite club","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Er frisk på det meste 😁","Nej (No)","","","Ja (Yes)","6","Mindre end en gang om  (Less than once a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","2","Aldrig (Never)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 9:12:21 PM GMT+1","Kvinde (Woman)","55","Dansk","Danmark ","Gift (Married)","Ja (yes)","40 år","10","8","9","Nej (No)","","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan;Afrodite club;Joys","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Ja (Yes)","Nysgerrig på mere. Eksperimennterer.","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Xxx",""
"2022/11/01 10:28:42 PM GMT+1","Mand (Man)","45","Dansker","","I et forhold (In a relationship)","Nej (No)","30 år","10","8","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Swingergaarden;Afrodite club","10+","Sociale medie (Social media)","Nej (No)","Ja (Yes)","Lyst til mere ","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Ja (Yes)","Dogging/swinger",""
"2022/11/01 10:31:17 PM GMT+1","Kvinde (Woman)","43","Danmark ","svendborg ","","Ja (yes)","fra jeg var 17","10","10","9","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;Afrodite club;Joys;diablo","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","udvidet mine fantasien ","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","","Nej (No)","Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 10:44:54 PM GMT+1","Mand (Man)","44","Dansk","Danmark","I et forhold (In a relationship)","Ja (yes)","25 år","9","9","2","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys","10+","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc)","Nej (No)","",""
"2022/11/02 5:48:44 AM GMT+1","Kvinde (Woman)","33","Dansk","Danmark","I et forhold (In a relationship)","Nej (No)","20 år","7","8","6","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Dark Secret;Afrodite club;Joys","10+","Søgt online (Searched online)","Ja (Yes)","Nej (No)","Det har det ikke","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Ja (Yes)","9","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc)","Ja (Yes)","",""
